Numero_solicitudes;Resumen;Nombre_organizacion;Duracion_horas;Cantidad_pagada;Trabajo_completado;Fecha_inicio;Hora_inicio;Categoria;Cualidades_buscadas
10;The American Cancer Society Coaches vs. Cancer program leverages personal experiences, community leadership and professional excellence of athletes, coaches and fans nationwide through special events and awareness activities.;American Cancer Society;4;112.1;false;04/17/2022;14:50:02;Health;seriedad, tranquilidad, serenidad
99;he focus of this project is to review an organization's existing media and communications documents and ensure that an organization's message is delivered effectively via marketing materials, organization background documents, presentations, speeches, photos, videos, and more.;Catchafire;5;101.13;true;10/12/2022;17:57:29;StrengtheningCommunities;seriedad, comprensividad, amabilidad
99;Video is a powerful medium. It helps an organization tell engaging stories, bring attention to a cause, and communicate its value and effectiveness to a wide audience;Catchafire;6;152.92;true;04/06/2022;13:13:22;StrengtheningCommunities;seriedad, comprensividad, simpatia
50;The Great Strides walk program is our organization’s premier fundraising initiative.  Each year throughout the months of May and June, thousands of New Yorkers join together to walk towards a cure for cystic fibrosis.  CF is an inherited chronic disease that affects the lungs and digestive system.;Cystic Fibrosis Foundation;5;103.75;false;01/03/2022;16:36:21;StrengtheningCommunities;seriedad, comprensividad, amabilidad
200;The 2011 Festival will take place on September 23, 24, & 25th.  This year we are searching for volunteers who can devote some of their time between Friday, September 16th and Thursday, September 22nd, as well as, the three days of the Festival itself.;Dumbo Arts Festival;4;124.72;true;06/08/2022;15:59:07;StrengtheningCommunities;seriedad, empatia, amabilidad
99;Event publicity generates buzz about an organization's event. Publicity can increase numbers of attendees traditionally, by reaching out to media for coverage in advance of the event, and directly, through social media.;Catchafire;4;178.96;true;03/20/2022;11:03:57;StrengtheningCommunities;compromiso, empatia, serenidad
5;Tutor and Mentor with YALLA (Young Arabs, Learning, Leading, Advancing), the high school youth program at the Arab American Association of New York.;Arab American Association Of New York;8;189.89;true;11/15/2022;10:09:03;Education;seriedad, comprensividad, simpatia
15;Learn more about how you can help with our Nutrition Workshop series.;Jewish Association for Services for the Aged (JASA);4;130.61;true;11/13/2022;13:28:09;Health;compromiso, comprensividad, amabilidad
10;Personal Shoppers work one-on-one with Dress for Success clients to help select their interview suit. Personal shopping is a wonderful way to boost women’s confidence and make a direct impact on our clients’ lives.;Dress for Success - Bronx Branch;7;182.81;false;11/28/2022;15:19:25;HelpingNeighborsinNeed;seriedad, empatia, amabilidad
10;Yoga instructor needed at Roy Wilkins Recreation Center in Jamaica, Queens.;New York City Department of Parks & Recreation;4;110.05;true;11/28/2022;17:16:36;Health;seriedad, comprensividad, simpatia
250;Clean up of abandoned cemetery on Staten Island;Where To Turn;7;195.52;false;05/01/2022;11:15:24;StrengtheningCommunities;seriedad, tranquilidad, simpatia
10;Volunteers at this event will make popcorn, paint faces, and lead games.  The movies will be shown in the Far Rockaway Beach area of Queens.;New York City Department of Parks & Recreation;8;178.88;true;12/05/2022;12:50:18;StrengtheningCommunities;seriedad, tranquilidad, serenidad
22;Join other volunteers for a back to school event in Forest Park, Queens.;New York City Department of Parks & Recreation;4;174.25;true;08/23/2022;12:35:54;StrengtheningCommunities;compromiso, comprensividad, serenidad
1000;Help out the American Cancer Society in Central Park on October 16, 2011!;American Cancer Society-Making Strides Against Breast Cancer;4;162.55;false;01/21/2022;16:49:11;Health;compromiso, empatia, amabilidad
5;Provide Youth and Adults with New Skills.;Community Service Society/Retired & Senior Volunteer Program (RSVP);4;162.42;false;11/03/2022;15:34:19;HelpingNeighborsinNeed;compromiso, empatia, simpatia
50;Bike New York is looking for intern to help with event organization, and behind the scenes work.;Bike New York;7;111.88;false;06/08/2022;14:26:58;Health;compromiso, empatia, serenidad
99;A motion graphics video offers a simple, visually engaging way to introduce an organization to a wider audience. Unlike traditional video, a motion graphics focuses on visual content or still images, so there is no need for a film shoot.;Catchafire;5;105.07;true;11/24/2022;12:22:51;StrengtheningCommunities;seriedad, empatia, serenidad
2;Volunteer your time to work alongside an all-girls, middle school rowing team, helping them succeed in academics during after-school time.;Up2Us;8;110.14;false;05/02/2022;17:52:34;Education;seriedad, tranquilidad, amabilidad
1;Teacher of Basic Computer Skills such as browsing, MS word, Excel, etc.;Greater Chinatown Community Association;5;114.62;false;09/05/2022;17:11:05;HelpingNeighborsinNeed;compromiso, tranquilidad, simpatia
12;Help care for our vegetable garden beds where all our produce will be donated to local food pantries.;Friends of Van Cortlandt Park;7;177.09;false;06/10/2022;10:02:25;Environment;seriedad, empatia, amabilidad
1;NIP is looking for a person who would like to assist our Director of Communications and Community Outreach in informing the community of the availability of our services by communicating directly with patients and with referal sources through marketing, media and special events.;National Institute for the Psychotherapies;8;172.26;false;09/02/2022;14:51:03;StrengtheningCommunities;seriedad, empatia, simpatia
15;Provide IT and network support at community based organizations in New York City who are currently partnering with iGotITtoo.;iGotITtoo;4;117.71;false;12/20/2022;13:29:43;StrengtheningCommunities;seriedad, comprensividad, serenidad
2;Instruct adults lacking HSD/GED in preparation for the GED exam in a small group setting in Harlem.;Civic Association Serving Harlems Inc;8;119.9;false;12/11/2022;13:34:55;HelpingNeighborsinNeed;compromiso, tranquilidad, serenidad
25;Join us at the largest timebanking event in New York City!;TimeBanksNYC;4;118.77;true;08/09/2022;15:14:35;HelpingNeighborsinNeed;compromiso, comprensividad, simpatia
10;Promote recycling in your apartment building!;New York City Department of Sanitation;5;141.41;false;05/23/2022;15:57:47;Environment;seriedad, comprensividad, serenidad
99;Crowdfunding is people pooling their money together, usually via the Internet, to support an idea or effort initiated by a person or organization. Crowdfunders can build up and nurture a community of like-minded individuals who genuinely want to see one another succeed.;Catchafire;8;186.78;false;10/02/2022;10:24:09;StrengtheningCommunities;seriedad, comprensividad, serenidad
30;Volunteers needed for our exciting Family Benefit at Webster Hall, May 22, 2011!;Children's Museum Of The Arts;5;120.92;true;10/17/2022;12:36:10;StrengtheningCommunities;seriedad, tranquilidad, amabilidad
100;Volunteers to pack boxes of Turkey Dinners on Nov.22;The Dream Big Foundation;8;158.4;true;09/12/2022;14:08:26;StrengtheningCommunities;seriedad, empatia, amabilidad
2;Literacy volunteers needed  to read books aloud to children on Saturdays.;The Neighborhood Work Play Kids Theater;6;183.3;true;06/08/2022;10:02:24;Education;seriedad, tranquilidad, serenidad
99;A vision and mission analysis helps an organization identify how it wants to change the world, who it wants to serve, and how it will accomplish its goals. Organizations often revise their vision, mission, and aspirations at strategic milestones such as new leadership.;Catchafire;5;153.21;false;03/19/2022;10:17:02;StrengtheningCommunities;compromiso, empatia, amabilidad
6;Work in a supported mentoring program with middle school students in Brooklyn, 3 days per week during the school day.  Individuals interested in a career in teaching are encouraged to apply.;Counseling in Schools;7;179.72;true;12/27/2022;16:09:15;Education;compromiso, empatia, simpatia
70;Lend your hands for the environment. Help keep New York coasts clean and free of debris. Celebrate the earth.;Artichoke Dance Company Inc.;7;157.41;true;02/11/2022;17:19:52;Environment;seriedad, comprensividad, amabilidad
15;ARTs East New York Inc. is looking for open-minded, motivated volunteer with an interest in the arts and community development to further the mission of our organization. Volunteer should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.;ARTs East New York Inc.;6;184.37;true;07/29/2022;16:58:08;StrengtheningCommunities;seriedad, tranquilidad, amabilidad
1;"We are seeking an instructor for our youth dance/drama workshop. Mon and Wed 3p-5p. The students will be conducting a production of ""The Wiz"". Instructor will be responsible for creating all lesson plans and reports.   ARTs East New York Inc.  artseastny.com";ARTs East New York Inc.;5;107.48;true;06/11/2022;13:19:33;Education;seriedad, empatia, simpatia
35;Join KHCC and Horace Mann High School for a celebration of service learning!;Kingsbridge Heights Community Center (KHCC);5;104.75;false;07/10/2022;10:49:33;Education;seriedad, tranquilidad, simpatia
15;Community Services-Nazi Victim Friendly Visitor Program. This friendly visiting program serves as the last surviving relative to the victims of the Nazi Persecution. Supported by social workers these are people who would benefit from a friendly visitor who can spend an hour a week with clients.;Community Service Society/Retired & Senior Volunteer Program (RSVP);5;165.48;true;06/01/2022;10:32:26;HelpingNeighborsinNeed;compromiso, comprensividad, serenidad
5;Office support - Provide office support, office management, database management, desktop publishing, word processing and any other office work  Volunteer Recruitment & Personnel - Recruit, supervise and communicate with volunteers and interns in our office and all over the world;Hearts and Minds;4;166.88;true;04/23/2022;11:01:20;StrengtheningCommunities;seriedad, tranquilidad, simpatia
30;Public event for families with crafts and activities;The Puppetry Arts Theatre Inc;4;183.3;true;05/16/2022;10:45:51;StrengtheningCommunities;seriedad, empatia, serenidad
5;Manhattan/Brighton Beach Senior Center is looking for activity leaders for any and all topics! Volunteer once a week to share your particular field of interest with our members.  Contact us and we will help you develop an opportunity tailored specifically to you and your talents!;Community Service Society/Retired & Senior Volunteer Program (RSVP);7;164.18;true;07/04/2022;13:16:17;HelpingNeighborsinNeed;compromiso, tranquilidad, amabilidad
10;This plan helps an organization determine how to spend its advertising dollars and manage this program. This project involves keyword research, ad copywriting, and account optimization guidelines.;Catchafire;5;102.17;false;03/15/2022;14:48:12;StrengtheningCommunities;compromiso, empatia, serenidad
3;The Family Center is a New York City non-profit dedicated to strengthening families affected by illness, crisis, and loss.  We are currently seeking a volunteer event photographer to capture compelling images of the children and families in our care.;The Family Center;6;118.33;false;01/05/2022;17:53:50;StrengtheningCommunities;seriedad, comprensividad, serenidad
8;Oversee our boys scout on saturdays as a troup leader;Project Mentor Development Council Inc. ;4;196.92;true;05/06/2022;16:03:36;StrengtheningCommunities;seriedad, comprensividad, amabilidad
100;We empower communities by training volunteers to prepare and respond to disasters. On 6/22/11, we will host an info session at our office where we are asking anyone interested in service to learn more about volunteer opportunities at WCC. Everyone has something to contribute.;World Cares Center;6;102.81;false;06/24/2022;11:03:58;EmergencyPreparedness;seriedad, comprensividad, amabilidad
20;The Olivieri Drop-In Center participates in the Emergency Shelter Network Respite Bed Program, a network of volunteer-run emergency respite sites hosted by various Congregations and community organizations throughout New York City.;The Olivieri Drop In Center for Men and Women;4;116.91;false;06/12/2022;11:12:02;HelpingNeighborsinNeed;compromiso, empatia, amabilidad
10;The Wendy Hilliard Foundation is looking for volunteers to come in on Saturday's from 3:30-6:30PM at Riverbank State Park to read with gymnastics students before or after they come to class.;The Wendy Hilliard Foundation ;6;135.51;false;11/19/2022;12:18:18;Education;seriedad, tranquilidad, amabilidad
1;NYAWC is seeking a volunteer to assist our Administration department with our busy office.;New York Asian Women's Center;7;112.55;true;11/06/2022;14:23:05;StrengtheningCommunities;compromiso, comprensividad, amabilidad
30;At Citizen Schools, middle school students work side-by-side with experts like you to explore new fields, learn new skills, and create something real for their community.;Community Service Society/Retired & Senior Volunteer Program (RSVP);6;150.52;true;01/19/2022;14:59:31;Education;seriedad, empatia, amabilidad
6;CVM AmeriCorps’ English Language Literacy program offers free ESL classes to adult learners in the Chinatown and LES community. We currently have four classes - Beginner 1,Beginner 2, Intermediate, and Advanced Conversation. Our classes run on a Monday to Thursday schedule, from 6:30 – 8:30pm.;Pace University Community & Volunteer Mobilization AmeriCorps;7;174.73;true;04/08/2022;15:39:52;HelpingNeighborsinNeed;seriedad, tranquilidad, serenidad
5;Windows desktop support and system administration, networking, software updating and configuration, and office equipment troubleshooting.;Hearts and Minds;4;100.53;false;10/30/2022;13:28:42;StrengtheningCommunities;compromiso, tranquilidad, simpatia
3;Pre-GED/GED Literacy and/or Math tutoring. Experience highly desirable but not essential. Proven ability to manage learners. Strong organizational, computer, verbal (oral and written) math, communication skills. Commitment to caring and helping others.;The HOPE Program;8;159.66;false;09/29/2022;15:40:32;HelpingNeighborsinNeed;compromiso, comprensividad, amabilidad
5;Momentum needs volunteers to help with a dinner program, located on East 165th Street near the Grand Concourse in the Bronx, offering a nutritious hot meal and pantry to take home, as well as social services.;The Momentum Project;6;143.77;true;11/14/2022;16:06:19;HelpingNeighborsinNeed;compromiso, tranquilidad, simpatia
10;This opportunity is located in Little Bay Park, Fort Totten.  The dates are August 16, 23, and 30 at 8pm.  Volunteers are needed for the following special events: singers, clowns, magicians, arts & crafts.;New York City Department of Parks & Recreation;5;185.4;false;02/03/2022;16:54:49;StrengtheningCommunities;seriedad, empatia, serenidad
3;The PAL BBC Steppers Step team program seeks an instructor available on Wednesday from 5:00pm – 7:30pm and Saturday mornings from 11:00 am – 1:00 pm. The BBC Steppers will consist of about 20 middle school and teen participants with or without formal experience in stepping.;Police Athletic League Of New York;4;199.05;true;06/15/2022;11:47:08;Health;seriedad, empatia, serenidad
50;Help pass out programs, serve food to performers, support audience members.;The Puppetry Arts Theatre Inc;5;109.27;true;12/26/2022;16:34:57;StrengtheningCommunities;compromiso, tranquilidad, serenidad
2;Help our nonprofit tell its story;Going Coastal Inc.;4;151.94;false;01/14/2022;14:38:23;StrengtheningCommunities;compromiso, tranquilidad, simpatia
1;NYC Parks and Recreation seeks your participation to enrich our parks! Shape Up New York is a free fitness program for all ages and is looking for a Zumba instructor at Forest Park Wallenburg Square in Queens.   Volunteers must have some experience as a fitness instructor.;New York City Department of Parks & Recreation;8;134.18;false;03/21/2022;13:25:30;Health;seriedad, comprensividad, serenidad
10;Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!;Bike New York;6;127.58;false;05/09/2022;14:48:22;StrengtheningCommunities;seriedad, empatia, simpatia
3;Bring the joy of music to seniors with Alzheimer's and related dementia at Lenox Hill Neighborhood House, the oldest and largest social and educational services organization on Manhattan's Upper East Side.;The Lenox Hill Neighborhood House;8;188.13;true;11/26/2022;14:10:53;StrengtheningCommunities;compromiso, tranquilidad, simpatia
15;ARTs East New York Inc. is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.;ARTs East New York Inc.;4;139.17;false;09/30/2022;15:13:07;StrengtheningCommunities;seriedad, tranquilidad, amabilidad
100;Join us on April 3, 2011 for the Best Buddies NYC Friendship Walk and help us step closer to a more accepting and inclusive future for people with intellectual and developmental disabilities!;Best Buddies New York;7;100.79;true;05/06/2022;14:33:59;StrengtheningCommunities;compromiso, empatia, serenidad
3;Volunteers needed to file for fair hearings, do client advocacy and screen clients for food stamps.;New York Legal Assistance Group;8;138.48;true;04/17/2022;12:39:08;HelpingNeighborsinNeed;compromiso, empatia, serenidad
2;We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.;Girl Scouts NYC;6;122.68;true;02/22/2022;10:18:11;StrengtheningCommunities;seriedad, tranquilidad, simpatia
5;We are recruiting outstanding undergraduate and graduate students as interns for the 2011-2012 school year to collaborate on the boldest nonprofit initiative we know.;ClassWish;7;136.77;true;02/02/2022;15:41:42;Education;compromiso, empatia, amabilidad
10;Come out to the South Bronx to help us hold our first open house! We need volunteers to help staff the event and run educational exhibit tables. Help us express a love of learning, science, and engineering to the community in the poorest congressional district in the country.;Iridescent;4;159.53;false;01/09/2022;13:09:30;StrengtheningCommunities;seriedad, comprensividad, serenidad
99;This project gives you the rare opportunity to meet with a seasoned CEO of a successful for-profit company that has at least $1,000,000 in annual revenue. You must be the Executive Director, or equivalent, of an organization to be eligible for this project.;Catchafire;5;103.91;false;09/01/2022;17:43:25;StrengtheningCommunities;compromiso, empatia, serenidad
5;Volunteers are needed to help divert clothing and textile waste from the landfill at our textile recycling drive!  Help out your community and enjoy a day outside as you receive bags of textiles and help load the collection truck at the end of the day.;Office of Recycling Outreach and Education;5;133.57;false;05/04/2022;10:08:32;Environment;seriedad, empatia, amabilidad
500;Join over a thousand professionals in NYC who mentor teens from underserved communities. Most of them had never served as mentors before joining but iMentor’s flexible and supportive mentoring model gave them the opportunity and confidence to try.;iMentor;7;100.28;true;11/03/2022;11:37:59;Education;compromiso, comprensividad, simpatia
